,camion,dia,comuna,value
0,0,0,Arica,1.0
1,0,1,Arica,1.0
2,0,2,Arica,1.0
3,0,3,Arica,1.0
4,0,4,Arica,1.0
5,0,5,Arica,1.0
6,0,6,Arica,1.0
7,0,7,Arica,1.0
8,0,8,Arica,1.0
9,0,9,Arica,1.0
10,0,10,Arica,1.0
11,0,11,Arica,1.0
12,0,12,Arica,1.0
13,0,13,Arica,1.0
14,0,14,Arica,1.0
15,0,15,Arica,1.0
16,0,16,Arica,1.0
17,0,17,Arica,1.0
18,0,18,Arica,1.0
19,0,19,Arica,1.0
20,0,20,Arica,1.0
21,0,21,Arica,1.0
22,0,22,Arica,1.0
23,0,23,Arica,1.0
24,0,24,Arica,1.0
25,0,25,Arica,1.0
26,0,26,Arica,1.0
27,0,27,Arica,1.0
28,0,28,Arica,1.0
29,0,29,Arica,1.0
30,0,30,Arica,1.0
31,0,31,Arica,1.0
32,0,32,Arica,1.0
33,0,33,Arica,1.0
34,0,34,Arica,1.0
35,0,35,Arica,1.0
36,0,36,Arica,1.0
37,0,37,Arica,1.0
38,0,38,Arica,1.0
39,0,39,Arica,1.0
40,0,40,Arica,1.0
41,0,41,Arica,1.0
42,0,42,Arica,1.0
43,0,43,Arica,1.0
44,0,44,Arica,1.0
45,0,45,Arica,1.0
46,0,46,Arica,1.0
47,0,47,Arica,1.0
48,0,48,Arica,1.0
49,0,49,Arica,1.0
50,0,50,Arica,1.0
51,0,51,Arica,1.0
52,0,52,Arica,1.0
53,0,53,Arica,1.0
54,0,54,Arica,1.0
55,0,55,Arica,1.0
56,0,56,Arica,1.0
57,0,57,Arica,1.0
58,0,58,Arica,1.0
59,0,59,Arica,1.0
60,0,60,Arica,1.0
61,0,61,Arica,1.0
62,0,62,Arica,1.0
63,0,63,Arica,1.0
64,0,64,Arica,1.0
65,0,65,Arica,1.0
66,0,66,Arica,1.0
67,0,67,Arica,1.0
68,0,68,Arica,1.0
69,0,69,Arica,1.0
70,0,70,Arica,1.0
71,0,71,Arica,1.0
72,0,72,Arica,1.0
73,0,73,Arica,1.0
74,0,74,Arica,1.0
75,0,75,Arica,1.0
76,0,76,Arica,1.0
77,0,77,Arica,1.0
78,0,78,Arica,1.0
79,0,79,Arica,1.0
80,0,80,Arica,1.0
81,0,81,Arica,1.0
82,0,82,Arica,1.0
83,0,83,Arica,1.0
84,0,84,Arica,1.0
