,dia,comuna,value
0,0,Arica,400.0
1,1,Arica,2400.0
2,2,Arica,2400.0
3,3,Arica,2400.0
4,4,Arica,2400.0
5,5,Arica,2400.0
6,6,Arica,2400.0
7,7,Arica,2400.0
8,8,Arica,2400.0
9,9,Arica,2400.0
10,10,Arica,1600.0
11,11,Arica,2400.0
12,12,Arica,2000.0
13,13,Arica,2400.0
14,14,Arica,2400.0
15,15,Arica,2400.0
16,16,Arica,2400.0
17,17,Arica,2000.0
18,18,Arica,2399.999999997898
19,19,Arica,2400.0
20,20,Arica,2400.0
21,21,Arica,2400.0
22,22,Arica,2400.0
23,23,Arica,2400.0
24,24,Arica,2400.0
25,25,Arica,2400.0
26,26,Arica,2400.0
27,27,Arica,2400.0
28,28,Arica,2400.0
29,29,Arica,2400.0
30,30,Arica,2400.0
31,31,Arica,2400.0
32,32,Arica,2400.0
33,33,Arica,2400.0
34,34,Arica,2400.0
35,35,Arica,2400.0
36,36,Arica,2400.0
37,37,Arica,2000.0
38,38,Arica,2400.0
39,39,Arica,2400.0
40,40,Arica,2400.0
41,41,Arica,2400.0
42,42,Arica,2400.0
43,43,Arica,2400.0
44,44,Arica,2389.0
45,45,Arica,2400.0
46,46,Arica,2400.0
47,47,Arica,2400.0
48,48,Arica,2000.0
49,49,Arica,2400.0
50,50,Arica,2400.0
51,51,Arica,2400.0
52,52,Arica,2400.0
53,53,Arica,2400.0
54,54,Arica,2400.0
55,55,Arica,2400.0
56,56,Arica,2400.0
57,57,Arica,2400.0
58,58,Arica,2400.0
59,59,Arica,2400.0
60,60,Arica,2400.0
61,61,Arica,2400.0
62,62,Arica,2400.0
63,63,Arica,2400.0
64,64,Arica,2400.0
65,65,Arica,2400.0
66,66,Arica,2400.0
67,67,Arica,2400.0
68,68,Arica,2400.0
69,69,Arica,2400.0
70,70,Arica,2400.0
71,71,Arica,2400.0
72,72,Arica,2400.0
73,73,Arica,2400.0
74,74,Arica,2000.0
75,75,Arica,2000.0
76,76,Arica,2400.0
77,77,Arica,2400.0
