,dia,comuna,value
0,0,Arica,0.3483617647839121
1,1,Arica,0.3494229697821877
2,2,Arica,0.3557901997718409
3,3,Arica,0.3621574297614942
4,4,Arica,0.36852465975114745
5,5,Arica,0.3748918897408007
6,6,Arica,0.38125911973045395
7,7,Arica,0.3876263497201072
8,8,Arica,0.39399357970976046
9,9,Arica,0.4003608096994137
10,10,Arica,0.40672803968906696
11,11,Arica,0.4109728596821691
12,12,Arica,0.41734008967182235
13,13,Arica,0.42264611466320007
14,14,Arica,0.4290133446528533
15,15,Arica,0.43538057464250657
16,16,Arica,0.4417478046321598
17,17,Arica,0.44811503462181307
18,18,Arica,0.4534210596131908
19,19,Arica,0.4597882896028382
20,20,Arica,0.4661555195924914
21,21,Arica,0.4725227495821447
22,22,Arica,0.4788899795717979
23,23,Arica,0.4852572095614512
24,24,Arica,0.4916244395511044
25,25,Arica,0.4979916695407577
26,26,Arica,0.5043588995304109
27,27,Arica,0.5107261295200641
28,28,Arica,0.5170933595097175
29,29,Arica,0.5234605894993707
30,30,Arica,0.5298278194890239
31,31,Arica,0.5361950494786771
32,32,Arica,0.5425622794683305
33,33,Arica,0.5489295094579837
34,34,Arica,0.5552967394476369
35,35,Arica,0.5616639694372901
36,36,Arica,0.5680311994269435
37,37,Arica,0.5743984294165967
38,38,Arica,0.5797044544079744
39,39,Arica,0.5860716843976277
40,40,Arica,0.5924389143872809
41,41,Arica,0.5988061443769341
42,42,Arica,0.6051733743665874
43,43,Arica,0.6115406043562407
44,44,Arica,0.6179078343458939
45,45,Arica,0.6242458811980945
46,46,Arica,0.6306131111877479
47,47,Arica,0.6369803411774011
48,48,Arica,0.6433475711670543
49,49,Arica,0.648653596158432
50,50,Arica,0.6550208261480853
51,51,Arica,0.6613880561377385
52,52,Arica,0.6677552861273918
53,53,Arica,0.674122516117045
54,54,Arica,0.6804897461066983
55,55,Arica,0.6868569760963515
56,56,Arica,0.6932242060860048
57,57,Arica,0.6995914360756581
58,58,Arica,0.7059586660653113
59,59,Arica,0.7123258960549645
60,60,Arica,0.7186931260446178
61,61,Arica,0.7250603560342711
62,62,Arica,0.7314275860239243
63,63,Arica,0.7377948160135775
64,64,Arica,0.7441620460032308
65,65,Arica,0.7505292759928841
66,66,Arica,0.7568965059825373
67,67,Arica,0.7632637359721905
68,68,Arica,0.7696309659618438
69,69,Arica,0.7759981959514971
70,70,Arica,0.7823654259411503
71,71,Arica,0.7887326559308036
72,72,Arica,0.7950998859204568
73,73,Arica,0.8014671159101101
74,74,Arica,0.8078343458997633
75,75,Arica,0.813140370891141
76,76,Arica,0.8184463958825188
77,77,Arica,0.824813625872172
78,78,Arica,0.8311808558618252
79,79,Arica,0.8375480858514784
80,80,Arica,0.8439153158411318
81,81,Arica,0.850282545830785
82,82,Arica,0.8566497758204382
83,83,Arica,0.8630170058100914
84,84,Arica,0.8693842357997448
85,85,Arica,0.875751465789398
86,86,Arica,0.8821186957790512
87,87,Arica,0.8884859257687046
88,88,Arica,0.8948531557583578
89,89,Arica,0.901220385748011
90,90,Arica,0.9075876157376642
91,91,Arica,0.9139548457273176
92,92,Arica,0.9203220757169708
93,93,Arica,0.926689305706624
94,94,Arica,0.9319953306980017
95,95,Arica,0.938362560687655
96,96,Arica,0.9447297906773082
97,97,Arica,0.9510970206669614
98,98,Arica,0.9574642506566148
99,99,Arica,0.963831480646268
100,0,Camarones,0.3873170731707317
101,1,Camarones,0.3873170731707317
102,2,Camarones,0.3873170731707317
103,3,Camarones,0.3873170731707317
104,4,Camarones,0.3873170731707317
105,5,Camarones,0.3873170731707317
106,6,Camarones,0.3873170731707317
107,7,Camarones,0.3873170731707317
108,8,Camarones,0.3873170731707317
109,9,Camarones,0.3873170731707317
110,10,Camarones,0.3873170731707317
111,11,Camarones,0.7775609756097561
112,12,Camarones,0.7775609756097561
113,13,Camarones,0.7775609756097561
114,14,Camarones,0.7775609756097561
115,15,Camarones,0.7775609756097561
116,16,Camarones,0.7775609756097561
117,17,Camarones,0.7775609756097561
118,18,Camarones,0.7775609756097561
119,19,Camarones,0.7775609756108365
120,20,Camarones,0.7775609756108365
121,21,Camarones,0.7775609756108365
122,22,Camarones,0.7775609756108365
123,23,Camarones,0.7775609756108365
124,24,Camarones,0.7775609756108365
125,25,Camarones,0.7775609756108365
126,26,Camarones,0.7775609756108365
127,27,Camarones,0.7775609756108365
128,28,Camarones,0.7775609756108365
129,29,Camarones,0.7775609756108365
130,30,Camarones,0.7775609756108365
131,31,Camarones,0.7775609756108365
132,32,Camarones,0.7775609756108365
133,33,Camarones,0.7775609756108365
134,34,Camarones,0.7775609756108365
135,35,Camarones,0.7775609756108365
136,36,Camarones,0.7775609756108365
137,37,Camarones,0.7775609756108365
138,38,Camarones,0.7775609756108365
139,39,Camarones,0.7775609756108365
