,comuna,dia,value
0,Arica,0,0.9999999999999188
1,Arica,1,-0.0
2,Arica,2,-0.0
3,Arica,3,1.0
4,Arica,4,1.0
5,Arica,5,1.0
6,Arica,6,1.0
7,Arica,7,1.0
8,Arica,8,1.0
9,Arica,9,1.0
10,Arica,10,1.0
11,Arica,11,1.0
12,Arica,12,1.0
13,Arica,13,1.0
14,Arica,14,1.0
15,Arica,15,1.0
16,Arica,16,1.0
17,Arica,17,1.0
18,Arica,18,1.0
19,Arica,19,1.0
20,Arica,20,1.0
21,Arica,21,1.0
22,Arica,22,1.0
23,Arica,23,1.0
24,Arica,24,1.0
25,Arica,25,1.0
26,Arica,26,1.0
27,Arica,27,1.0
28,Arica,28,1.0
29,Arica,29,1.0
30,Arica,30,1.0
31,Arica,31,1.0
32,Arica,32,1.0
33,Arica,33,1.0
34,Arica,34,1.0
35,Arica,35,1.0
36,Arica,36,1.0
37,Arica,37,1.0
38,Arica,38,1.0
39,Arica,39,1.0
40,Arica,40,1.0
41,Arica,41,1.0
42,Arica,42,1.0
43,Arica,43,1.0
44,Arica,44,1.0
45,Arica,45,1.0
46,Arica,46,1.0
47,Arica,47,1.0
48,Arica,48,1.0
49,Arica,49,1.0
50,Arica,50,1.0
51,Arica,51,1.0
52,Arica,52,1.0
53,Arica,53,1.0
54,Arica,54,1.0
55,Arica,55,1.0
56,Arica,56,1.0
57,Arica,57,1.0
58,Arica,58,1.0
59,Arica,59,1.0
60,Arica,60,1.0
61,Arica,61,1.0
62,Arica,62,1.0
63,Arica,63,1.0
64,Arica,64,1.0
65,Arica,65,1.0
66,Arica,66,1.0
67,Arica,67,1.0
68,Arica,68,1.0
69,Arica,69,1.0
70,Arica,70,1.0
71,Arica,71,1.0
72,Arica,72,1.0
73,Arica,73,1.0
74,Arica,74,1.0
75,Arica,75,1.0
76,Arica,76,1.0
77,Arica,77,1.0
78,Arica,78,1.0
79,Arica,79,1.0
80,Arica,80,1.0
81,Arica,81,1.0
82,Arica,82,1.0
83,Arica,83,1.0
84,Arica,84,1.0
85,Arica,85,1.0
86,Arica,86,1.0
87,Arica,87,1.0
88,Arica,88,1.0
89,Arica,89,1.0
90,Arica,90,1.0
91,Arica,91,1.0
92,Arica,92,1.0
93,Arica,93,1.0
94,Arica,94,1.0
95,Arica,95,1.0
96,Arica,96,1.0
97,Arica,97,1.0
98,Arica,98,1.0
99,Arica,99,1.0
100,Camarones,0,0.9999999999998799
101,Camarones,1,0.0
102,Camarones,2,-0.0
103,Camarones,3,-0.0
104,Camarones,4,0.0
105,Camarones,5,-0.0
106,Camarones,6,0.0
107,Camarones,7,-0.0
108,Camarones,8,-0.0
109,Camarones,9,-0.0
110,Camarones,10,-0.0
111,Camarones,11,-0.0
112,Camarones,12,1.0
113,Camarones,13,1.0
114,Camarones,14,1.0
115,Camarones,15,1.0
116,Camarones,16,1.0
117,Camarones,17,1.0
118,Camarones,18,1.0
119,Camarones,19,1.0
120,Camarones,20,1.0
121,Camarones,21,1.0
122,Camarones,22,1.0
123,Camarones,23,1.0
124,Camarones,24,1.0
125,Camarones,25,1.0
126,Camarones,26,1.0
127,Camarones,27,1.0
128,Camarones,28,1.0
129,Camarones,29,1.0
130,Camarones,30,1.0
131,Camarones,31,1.0
132,Camarones,32,1.0
133,Camarones,33,1.0
134,Camarones,34,1.0
135,Camarones,35,1.0
136,Camarones,36,1.0
137,Camarones,37,1.0
138,Camarones,38,1.0
139,Camarones,39,1.0
140,Camarones,40,1.0
141,Camarones,41,1.0
142,Camarones,42,1.0
143,Camarones,43,1.0
144,Camarones,44,1.0
145,Camarones,45,1.0
146,Camarones,46,1.0
147,Camarones,47,1.0
148,Camarones,48,1.0
149,Camarones,49,1.0
150,Camarones,50,1.0
151,Camarones,51,1.0
152,Camarones,52,1.0
153,Camarones,53,1.0
154,Camarones,54,-0.0
155,Camarones,55,-0.0
156,Camarones,56,-0.0
157,Camarones,57,-0.0
158,Camarones,58,-0.0
159,Camarones,59,-0.0
160,Camarones,60,-0.0
161,Camarones,61,-0.0
162,Camarones,62,-0.0
163,Camarones,63,-0.0
164,Camarones,64,-0.0
165,Camarones,65,-0.0
166,Camarones,66,-0.0
167,Camarones,67,-0.0
168,Camarones,68,-0.0
169,Camarones,69,-0.0
170,Camarones,70,-0.0
171,Camarones,71,-0.0
172,Camarones,72,-0.0
173,Camarones,73,-0.0
174,Camarones,74,-0.0
175,Camarones,75,-0.0
176,Camarones,76,-0.0
177,Camarones,77,-0.0
178,Camarones,78,1.0
179,Camarones,79,1.0
180,Camarones,80,1.0
181,Camarones,81,1.0
182,Camarones,82,1.0
183,Camarones,83,1.0
184,Camarones,84,1.0
185,Camarones,85,1.0
186,Camarones,86,1.0
187,Camarones,87,-0.0
188,Camarones,88,-0.0
189,Camarones,89,-0.0
190,Camarones,90,1.0
191,Camarones,91,1.0
192,Camarones,92,1.0
193,Camarones,93,1.0
