,dia,comuna,value
0,0,Arica,-0.0
1,1,Arica,-0.0
2,2,Arica,-0.0
3,3,Arica,-0.0
4,4,Arica,-0.0
5,5,Arica,-0.0
6,6,Arica,-0.0
7,7,Arica,-0.0
8,8,Arica,-0.0
9,9,Arica,-0.0
10,10,Arica,-0.0
11,11,Arica,-0.0
12,12,Arica,-0.0
13,13,Arica,-0.0
14,14,Arica,-0.0
15,15,Arica,-0.0
16,16,Arica,-0.0
17,17,Arica,-0.0
18,18,Arica,-0.0
19,19,Arica,-0.0
20,20,Arica,-0.0
21,21,Arica,-0.0
22,22,Arica,-0.0
23,23,Arica,-0.0
24,24,Arica,-0.0
25,25,Arica,-0.0
26,26,Arica,-0.0
27,27,Arica,-0.0
28,28,Arica,-0.0
29,29,Arica,-0.0
30,30,Arica,-0.0
31,31,Arica,-0.0
32,32,Arica,-0.0
33,33,Arica,-0.0
34,34,Arica,-0.0
35,35,Arica,-0.0
36,36,Arica,-0.0
37,37,Arica,-0.0
38,38,Arica,-0.0
39,39,Arica,-0.0
40,40,Arica,-0.0
41,41,Arica,-0.0
42,42,Arica,-0.0
43,43,Arica,-0.0
44,44,Arica,-0.0
45,45,Arica,-0.0
46,46,Arica,-0.0
47,47,Arica,-0.0
48,48,Arica,-0.0
49,49,Arica,-0.0
50,0,Camarones,-0.0
51,1,Camarones,0.0
52,2,Camarones,0.0
53,3,Camarones,0.0
54,4,Camarones,0.0
55,5,Camarones,0.0
56,6,Camarones,0.0
57,7,Camarones,0.0
58,8,Camarones,0.0
59,9,Camarones,0.0
60,10,Camarones,0.0
61,11,Camarones,0.0
62,12,Camarones,0.0
63,13,Camarones,0.0
64,14,Camarones,0.0
65,15,Camarones,0.0
66,16,Camarones,0.0
67,17,Camarones,0.0
68,18,Camarones,0.0
69,19,Camarones,0.0
70,20,Camarones,0.0
71,21,Camarones,0.0
72,22,Camarones,0.0
73,23,Camarones,0.0
74,24,Camarones,0.0
75,25,Camarones,0.0
76,26,Camarones,0.0
77,27,Camarones,0.0
78,28,Camarones,0.0
79,29,Camarones,0.0
80,30,Camarones,0.0
81,31,Camarones,0.0
82,32,Camarones,0.0
83,33,Camarones,0.0
84,34,Camarones,0.0
85,35,Camarones,0.0
86,36,Camarones,0.0
87,37,Camarones,0.0
88,38,Camarones,0.0
89,39,Camarones,0.0
90,40,Camarones,0.0
91,41,Camarones,0.0
92,42,Camarones,0.0
93,43,Camarones,0.0
94,44,Camarones,0.0
95,45,Camarones,0.0
96,46,Camarones,0.0
97,47,Camarones,0.0
98,48,Camarones,0.0
99,49,Camarones,0.0
100,0,Putre,-0.0
101,1,Putre,-0.0
102,2,Putre,991.0
103,3,Putre,-0.0
104,4,Putre,-0.0
105,5,Putre,-0.0
106,6,Putre,-0.0
107,7,Putre,-0.0
108,8,Putre,-0.0
109,9,Putre,-0.0
110,10,Putre,-0.0
111,11,Putre,-0.0
112,12,Putre,-0.0
113,13,Putre,-0.0
114,14,Putre,-0.0
115,15,Putre,-0.0
116,16,Putre,-0.0
117,17,Putre,-0.0
118,18,Putre,-0.0
119,19,Putre,-0.0
120,20,Putre,-0.0
121,21,Putre,-0.0
122,22,Putre,-0.0
123,23,Putre,-0.0
124,24,Putre,-0.0
125,25,Putre,-0.0
126,26,Putre,-0.0
127,27,Putre,-0.0
128,28,Putre,-0.0
129,29,Putre,-0.0
130,30,Putre,-0.0
131,31,Putre,-0.0
132,32,Putre,-0.0
133,33,Putre,-0.0
134,34,Putre,-0.0
135,35,Putre,-0.0
136,36,Putre,-0.0
137,37,Putre,-0.0
138,38,Putre,-0.0
139,39,Putre,-0.0
140,40,Putre,-0.0
141,41,Putre,-0.0
142,42,Putre,-0.0
143,43,Putre,-0.0
144,44,Putre,-0.0
145,45,Putre,-0.0
146,46,Putre,-0.0
147,47,Putre,-0.0
148,48,Putre,-0.0
149,49,Putre,-0.0
150,0,General Lagos,-0.0
151,1,General Lagos,-0.0
152,2,General Lagos,-0.0
153,3,General Lagos,-0.0
154,4,General Lagos,-0.0
155,5,General Lagos,-0.0
156,6,General Lagos,-0.0
157,7,General Lagos,-0.0
158,8,General Lagos,-0.0
159,9,General Lagos,-0.0
160,10,General Lagos,-0.0
161,11,General Lagos,-0.0
162,12,General Lagos,-0.0
163,13,General Lagos,-0.0
164,14,General Lagos,-0.0
165,15,General Lagos,-0.0
166,16,General Lagos,-0.0
167,17,General Lagos,-0.0
168,18,General Lagos,-0.0
169,19,General Lagos,-0.0
170,20,General Lagos,-0.0
171,21,General Lagos,-0.0
172,22,General Lagos,-0.0
173,23,General Lagos,-0.0
174,24,General Lagos,-0.0
175,25,General Lagos,-0.0
176,26,General Lagos,-0.0
177,27,General Lagos,-0.0
178,28,General Lagos,-0.0
179,29,General Lagos,-0.0
180,30,General Lagos,-0.0
181,31,General Lagos,-0.0
182,32,General Lagos,-0.0
183,33,General Lagos,-0.0
184,34,General Lagos,-0.0
185,35,General Lagos,-0.0
186,36,General Lagos,-0.0
187,37,General Lagos,-0.0
188,38,General Lagos,-0.0
189,39,General Lagos,-0.0
190,40,General Lagos,-0.0
191,41,General Lagos,-0.0
192,42,General Lagos,-0.0
193,43,General Lagos,-0.0
194,44,General Lagos,-0.0
195,45,General Lagos,-0.0
196,46,General Lagos,-0.0
197,47,General Lagos,-0.0
198,48,General Lagos,-0.0
199,49,General Lagos,-0.0
