,dia,comuna,value
0,0,Arica,0.3483617647839121
1,1,Arica,0.3488923672830499
2,2,Arica,0.3488923672830499
3,3,Arica,0.3488923672830499
4,4,Arica,0.3496882710317566
5,5,Arica,0.35048417478046323
6,6,Arica,0.35128007852916987
7,7,Arica,0.3520759822778765
8,8,Arica,0.3528718860265832
9,9,Arica,0.35366778977528984
10,10,Arica,0.3541983922744276
11,11,Arica,0.35499429602313426
12,12,Arica,0.3551269466479187
13,13,Arica,0.35592285039662536
14,14,Arica,0.356718754145332
15,15,Arica,0.3575146578940387
16,16,Arica,0.35831056164274533
17,17,Arica,0.35910646539145197
18,18,Arica,0.3599023691401586
19,19,Arica,0.3606982728888653
20,20,Arica,0.36149417663757194
21,21,Arica,0.3622900803862786
22,22,Arica,0.3630859841349853
23,23,Arica,0.3638818878836919
24,24,Arica,0.36467779163239855
25,25,Arica,0.36547369538110525
26,26,Arica,0.3662695991298119
27,27,Arica,0.3670655028785185
28,28,Arica,0.3678614066272252
29,29,Arica,0.36865731037593186
30,30,Arica,0.3694532141246385
31,31,Arica,0.37024911787334513
32,32,Arica,0.37104502162205183
33,33,Arica,0.37184092537075847
34,34,Arica,0.3726368291194651
35,35,Arica,0.3734327328681718
36,36,Arica,0.37422863661687844
37,37,Arica,0.3750245403655851
38,38,Arica,0.3758204441142918
39,39,Arica,0.3766163478629984
40,40,Arica,0.37741225161170505
41,41,Arica,0.37820815536041175
42,42,Arica,0.3790040591091184
43,43,Arica,0.379799962857825
44,44,Arica,0.3805958666065317
45,45,Arica,0.38139177035523836
46,46,Arica,0.382187674103945
47,47,Arica,0.3829835778526517
48,48,Arica,0.38377948160135833
49,49,Arica,0.38457538535006497
50,50,Arica,0.38537128909877166
51,51,Arica,0.3861671928474783
52,52,Arica,0.38696309659618494
53,53,Arica,0.38775900034489164
54,54,Arica,0.3884222534688138
55,55,Arica,0.38908550659273605
56,56,Arica,0.3898814103414427
57,57,Arica,0.39067731409014933
58,58,Arica,0.391473217838856
59,59,Arica,0.39226912158756266
60,60,Arica,0.39306502533626936
61,61,Arica,0.393860929084976
62,62,Arica,0.39465683283368264
63,63,Arica,0.39545273658238933
64,64,Arica,0.39624864033109597
65,65,Arica,0.3970445440798026
66,66,Arica,0.3978404478285093
67,67,Arica,0.39863635157721594
68,68,Arica,0.3994322553259226
69,69,Arica,0.4002281590746293
70,70,Arica,0.4010240628233359
71,71,Arica,0.40181996657204255
72,72,Arica,0.40261587032074925
73,73,Arica,0.4034117740694559
74,74,Arica,0.4042076778181625
75,75,Arica,0.40500358156686916
76,76,Arica,0.40579948531557586
77,77,Arica,0.4065953890642825
78,78,Arica,0.40725864218820473
79,79,Arica,0.4080545459369114
80,80,Arica,0.408850449685618
81,81,Arica,0.4096463534343247
82,82,Arica,0.41044225718303134
83,83,Arica,0.41123816093173804
84,84,Arica,0.4120340646804447
85,85,Arica,0.4128299684291513
86,86,Arica,0.413625872177858
87,87,Arica,0.4142891253017802
88,88,Arica,0.41508502905048683
89,89,Arica,0.4158809327991935
90,90,Arica,0.4160135834239779
91,91,Arica,0.4168094871726845
92,92,Arica,0.4176053909213912
93,93,Arica,0.41840129467009785
94,94,Arica,0.4191971984188045
95,95,Arica,0.4199931021675112
96,96,Arica,0.4207890059162178
97,97,Arica,0.42158490966492446
98,98,Arica,0.4217175602897089
